Talu,Blonduos,Vardo,Helvig,Biruwa,Shinobi,Reading,Eden,Valais
01/300 Tyra Carlsen,01/300 Kerstin Eklund,02/300 Florian Lund,01/300 Yorick Blomgren,01/300 Nana Morris,03/300 Gerik Sorensen,21/300 Mia Regan,01/300 Sanna Carlsen,01/300 Riko Moore
02/300 Allana Sato,01/300 Simon Sorensen,03/300 Sakura McCarthy,02/300 Sakura Collins,02/300 Takuya Sato,04/300 Dahl Blomgren,21/300 Alexander Watanabe,03/300 Dionne Hall,04/300 Jacob Connolly
04/300 Gala Eklund,03/300 Kirstie Ibsen,04/300 Ryan Murphy,05/300 Nico Jensen,05/300 Ursula Eklund,06/300 Elsa Thorn,21/300 Sophia Connolly,04/300 Lamont Page,06/300 Emy Brown
04/300 Nina Ibsen,06/300 Fabian Eklund,04/300 Lisa Solberg,06/300 Niamh Wilson,09/300 Jessica Moore,15/300 Donar Eklund,21/300 Riku Price,07/300 Elie McCarthy,06/300 Simon Sorensen
05/300 Anthony Watanabe,09/300 Halden Blomgren,06/300 Haruka Watanabe,07/300 Elin Sorensen,10/300 Tyr Lund,17/300 Bailey Morris,21/300 Ryan Jackson,13/300 Rida Lund,06/300 Olson Blomgren
05/300 Emma Carlsen,10/300 Ruby Connolly,07/300 Haru Collins,08/300 Malena Sorensen,10/300 Mizuki Collins,17/300 Megan Collins,22/300 Sven Solberg,14/300 Henri Petit,09/300 Antoine McCarthy
08/300 Sakura Yamada,11/300 Colin Morris,08/300 Shiori Wilson,09/300 Ella Bager,14/300 Katie Jackson,18/300 Julia Lund,25/300 Mike McCarthy,18/300 Claire Watanabe,09/300 Helga Svendsen
09/300 Celine Page,12/300 Olson Solberg,09/300 Justin Edwards,10/300 Berit Carlsen,16/300 Ryan Kimura,22/300 Ansel Carlsen,25/300 Michaela Sato,20/300 Marshall Edwards,10/300 Sarah Morris
10/300 Florian Jensen,13/300 Tobias Ibsen,11/300 Emma Sorensen,11/300 Lea Solberg,19/300 Yorick Lund,23/300 Andrew Kimura,25/300 Hans Carlsen,20/300 Alicia Dupont,16/300 Mia Sato
11/300 Galen Ibsen,17/300 Tamara Morris,11/300 Susannah Connolly,11/300 Sophie Blomgren,19/300 Hama Connolly,24/300 Adam Connolly,25/300 Lucia Solberg,22/300 Nanami McCarthy,17/300 Ryan Morris
17/300 Dane Sorensen,21/300 Naoki Regan,13/300 David Eklund,12/300 Brenda Solberg,20/300 Mary Edwards,24/300 Ingrid Carlsen,27/300 Raphael Solberg,22/300 Antoine Connolly,17/300 Isobel Brown
18/300 Ansel Sorensen,22/300 Misaki Price,16/300 Siobhan Collins,15/300 Selina Sorensen,21/300 Sarah Bager,25/300 Halden Bager,27/300 Ryouta Connolly,22/300 Gaston Connolly,18/300 Elias Solberg
18/300 Hailey Edwards,22/300 Hannah Jensen,16/300 Amy Wilson,17/300 Nanami Collins,22/300 Gunnar Sorensen,26/300 Ava Collins,02/301 Samuel Eklund,23/300 Beatrice Solberg,18/300 Patricia Edwards
19/300 Gaston Svendsen,23/300 David Holst,19/300 Megan Yamada,17/300 Olivia Sato,23/300 Kayleigh Kimura,26/300 Akane Burke,03/301 Takumi Roberts,24/300 Zoe Sato,18/300 Reynard Blomgren
