aerobic_group,anaerobic_group,control_group
Simon (Marshall) Sorensen,Raum Carlsen,Hannah Jensen
Jeneve Solberg,Remy Connolly,Elena Blomgren
Pernille Carlsen,Brenda Erickson,Ashley Brown
Dean Price,Megane Sato,Jonas Sorensen
Emma Connolly,Seymour (Nathan) Wilson,Anastasia Ibsen
Jana Bager,Ryan Kimura,Sophia Blomgren
Agda Carlsen,Joel Masson,Arvid Eklund
Grace Price,Akane Watanabe,Conor Connelly
Mana Mardia,Christopher Froehlich,Cariel Solberg
Kerstin Thorn,Juhani Ibsen,Arvid Solberg
Chanda Babu,Leon Connolly,Kevin Edwards
Gabrielle (Chanha) Ramanan,Sylvia Ritchie,Katarina Lenz
Axel Sorensen,Hanima Devar,Signe Sorensen
Vanessa Eklund,Rahas Babu,Liliane Gautier
Nicolas (Tom) Edwards,Rita Voigt,Nanami Kimura
Sarah Bager,Miho Collins,Cariel Blomgren
Gerald Reinhardt,Gretel Solberg,Lena Olsen
Lynnea Ibsen,Theresa Bager,Mia Yamada
Lomash Kaur,Noah Morris,Viggo Sorensen
Ragnar Carlsen,Olina Sorensen,Derick Hughes
Gildas Gaillard,Julie Lund,Josh Davies
Erika Eklund,Lauren Connolly,Magritte Herbert
Ole Ibsen,Hakan Larsen,Magritte Morris
Ava Collins,Lucia Solberg,Amon Suzuki
Lars Solberg,Brenda Sorensen,Leon Sorensen
Nicolas Wilson,Per Peters,Kimaya Badahur
Killian McCarthy,Tove Pallesen,Brielle (Kaia) Sultana
Kaia Ramanujan,Torvald Carlsen,Ayann Chunduri
Sarah Solberg,Sian Morris,Nayan Khan
Nabhi Datta,Emilie (Kaia) Chatterjee,Kirstie Eklund
Ragnar Olsen,Holly Conolly,Helga Svensen
Shane Sato,Kashvi Kumar,Akane Morris
Benjamin Wilson,Tobias Eklund,Juliette (Alina) Jensen
